"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"05/12/2021","29","PM2.5","Durham Armory","37-063-0015","AQS","28","8","29"
"05/13/2021","38","Ozone","Bushy Fork","37-145-0003","AQS","38","8","32"
"05/14/2021","44","Ozone","Bushy Fork","37-145-0003","AQS","44","10","35"
"05/15/2021","48","PM2.5","Durham Armory","37-063-0015","AQS","46","13","48"
"05/16/2021","55","PM2.5","Durham Armory","37-063-0015","AQS","31","15","55"
"05/17/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","43","14","52"
"05/18/2021","44","PM2.5","Durham Armory","37-063-0015","AQS","44","14","44"
"05/19/2021","58","Ozone","Durham Armory","37-063-0015","AQS","58","16","51"
"05/20/2021","77","Ozone","Durham Armory","37-063-0015","AQS","77","17","53"
"05/21/2021","47","Ozone","Bushy Fork","37-145-0003","AQS","47","14","40"
"05/22/2021","52","PM2.5","Durham Armory","37-063-0015","AQS","48","14","52"
"05/23/2021","71","Ozone","Bushy Fork","37-145-0003","AQS","71","19","58"
"05/24/2021","57","PM2.5","Durham Armory","37-063-0015","AQS","44","20","57"
"05/25/2021","58","PM2.5","Durham Armory","37-063-0015","AQS","50","24","58"
"05/26/2021","90","Ozone","Bushy Fork","37-145-0003","AQS","90","26","67"
"05/27/2021","54","PM2.5","Durham Armory","37-063-0015","AQS","48","18","54"
"05/28/2021","55","PM2.5","Durham Armory","37-063-0015","AQS","46","20","55"
"05/29/2021","41","PM2.5","Durham Armory","37-063-0015","AQS","29","13","41"
"05/30/2021","25","Ozone","Bushy Fork","37-145-0003","AQS","25","4","9"
"05/31/2021","32","Ozone","Durham Armory","37-063-0015","AQS","32","6","21"
"06/01/2021","50","Ozone","Durham Armory","37-063-0015","AQS","50","11","43"
"06/02/2021","37","PM2.5","Durham Armory","37-063-0015","AQS","33","11","37"
"06/03/2021","23","Ozone","Bushy Fork","37-145-0003","AQS","23","6","14"
"06/04/2021","39","Ozone","Bushy Fork","37-145-0003","AQS","39","11","36"
"06/05/2021","64","Ozone","Durham Armory","37-063-0015","AQS","64","16","48"
"06/06/2021","42","PM2.5","Durham Armory","37-063-0015","AQS","32","11","42"
"06/07/2021","29","PM2.5","Durham Armory","37-063-0015","AQS","25","12","29"
